text,insult,obscene,ideology,lgbtqphobia,racism,sexism,xenophobia
pior do que adolescentezinhas de merda . são pessoas que levam filmes estão a serio ! o livro filme e dela ela faz o que quiser ! e por mais ruim que seja está rendendo milhões,1,1,0,0,0,1,0
podia ter beijo também pra ver se o homofóbicos cortar os pulsos,1,0,0,0,0,0,0
o monark não e racista que filha da pastagem já sofreram mano o flow vai cair e já era tri que foda isso tudo .,1,0,0,0,0,0,0
fodeu minha mãe acabou de chegar em casa e eu acabei de acordar tomei no cu,1,1,0,0,0,0,0
vergonha ainda segura a bandeira de um pais de verdade não esse circo que está tendo aqui . está preocupado mais com a fama do que com o brasil nunca mais vera meu apoio,1,0,1,1,0,0,1
que vagabunda hipócrita porque eu beijei as duas então geral se traiu e ela não pode reclamar,1,1,0,0,0,1,0
heterofobismo ? pelo que eu saiba heteros nunca foram perseguidos mortos e torturados por centenas de anos pela sua terapeuta sexual . em alguns países do oriente gays são presos e as vezes mortos so por causa de terapeuta sexual . isso nunca aconteceu e nem vai acontecer com heteros . a implantação nas escolas da ideia de que existem casais diferentes e ótima ! o conhecimento e a arma contra a ignorância e tenho certeza que vai ajudar muitas crianças confusas por ai ! heterofobismo ? estude mais um pouco antes de abrir a boca e passar vergonha por favor .,1,0,1,0,0,0,0
jajajajajaja eleva anos dividendo lo cismo . son gente ignorante .,1,0,0,0,0,0,0
pra mim kkk puta história fantasiosa,1,1,0,0,0,0,0
desgraçado . mentiroso . você acabou com minha dignidade .,1,1,0,0,0,0,0
retweeet opala que lina indique a alguns de los de disney asi aprende a no ser burros,1,0,0,0,0,0,0
quem abraca ladrão e o que sua bosta ?,1,0,1,0,0,0,0
américas lotado de caboclas gostosas partindo das pálidas ate as mais escuras estilo cinderela das mais quanto sim ate as mais cavalas filhote de neve quer porque quer se enfiar em uma reserva cheia de índio armado caçando ele com hilux pra sujar a genética de um povo que descende apenas de pessoas e tem terapeutas do resto da humanidade de mais de karalho de anise muita síndrome de filhote de neve puta merda .,1,1,0,0,0,1,1
o diabo e sujo mesmo ele tem orgulho de contar cada detalhe pra envergonhar mais ainda ela . rosto nauseado,1,0,0,0,0,0,0
já está pedindo para ser punida ? sua putinha inútil do karalho cala a boca e eu vou fazer o que quero,1,1,0,0,0,1,0
